Admission grade,Age at enrollment,Application Mode,Application order,Course,Curricular units 1st sem (approved),Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Daytime/evening attendance,Debtor,Displaced,Educational special needs,Father's occupation,Father's qualification,Sum of GDP,Gender,Inflation rate,International,Marital status,Mother's occupation,Mother's qualification,Nationality Desc,Previous qualification,Previous qualification (grade),Scholarship holder,Target,Tuition fees up to date,Unemployment rate
121.6,19,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,7,14.71428571,0,6,0,6,6,15.83333333,0,Daytime,No,No,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.79,Female,0.5,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,130,No,Graduate,Yes,12.4
155,22,1st phase - general contingent,1,Advertising and Marketing Management,3,0,5,6,11.33333333,0,0,0,5,5,0,0,Daytime,No,No,No,"Skilled Workers in Industry, Construction and Craftsmen",Secondary Education - 12th Year of Schooling or Equivalent,-3.12,Female,-0.8,No,Single,Legislative/Executive Directors and Managers,Higher Education - Degree,Portuguese,Secondary education,133.1,No,Dropout,Yes,9.4
154.7,18,1st phase - general contingent,1,Advertising and Marketing Management,5,0,5,6,11.8,0,5,0,5,5,12.6,0,Daytime,No,No,No,"Skilled Workers in Industry, Construction and Craftsmen",Secondary Education - 12th Year of Schooling or Equivalent,-3.12,Female,-0.8,No,Single,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,154,Yes,Graduate,Yes,9.4
110.6,20,1st phase - general contingent,1,Advertising and Marketing Management,4,0,5,7,11.75,0,5,0,5,7,11.8,1,Daytime,No,No,No,Student,Secondary Education - 12th Year of Schooling or Equivalent,0.32,Female,2.6,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,112,No,Graduate,Yes,7.6
119.5,19,1st phase - general contingent,1,Advertising and Marketing Management,0,0,5,5,0,0,0,0,6,0,0,0,Daytime,No,No,No,Student,Secondary Education - 12th Year of Schooling or Equivalent,-3.12,Male,-0.8,No,Single,Student,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,130,No,Dropout,No,9.4
111.8,22,1st phase - general contingent,2,Advertising and Marketing Management,3,0,5,8,12,0,2,0,5,9,11,1,Daytime,No,No,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,0.32,Female,2.6,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,117,No,Enrolled,Yes,7.6
128.1,19,1st phase - general contingent,1,Advertising and Marketing Management,4,0,5,8,12.5,0,4,0,5,6,11,0,Daytime,No,No,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,0.32,Male,2.6,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,127,No,Enrolled,Yes,7.6
118.2,19,1st phase - general contingent,1,Advertising and Marketing Management,5,0,5,5,10.8,0,4,0,5,5,12.25,0,Daytime,No,No,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,-3.12,Male,-0.8,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,129,No,Graduate,Yes,9.4
122.3,18,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,7,13.57142857,0,6,0,6,6,14.33333333,0,Daytime,No,No,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,1.79,Male,0.5,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,137,Yes,Graduate,Yes,12.4
114.3,18,1st phase - general contingent,1,Advertising and Marketing Management,4,0,6,7,12.6,0,4,0,6,6,13,0,Daytime,No,No,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,1.79,Male,0.5,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,115,No,Dropout,Yes,12.4
126.9,21,1st phase - general contingent,2,Advertising and Marketing Management,5,0,5,5,13.2,0,4,0,5,5,13,0,Daytime,No,No,No,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-3.12,Female,-0.8,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,144,Yes,Graduate,Yes,9.4
127.9,19,1st phase - general contingent,1,Advertising and Marketing Management,5,0,5,5,12.8,0,5,0,5,5,14.2,0,Daytime,No,No,No,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-3.12,Female,-0.8,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,131,Yes,Graduate,Yes,9.4
130.5,19,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,8,14.25,0,6,0,6,7,13.85714286,0,Daytime,No,No,No,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,2.02,Male,0.6,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,141,No,Graduate,Yes,11.1
122.3,19,1st phase - general contingent,1,Advertising and Marketing Management,5,0,5,6,11.5,0,5,0,5,5,11.6,0,Daytime,No,No,No,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,-3.12,Male,-0.8,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,131,No,Graduate,Yes,9.4
126.3,18,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,8,12.16666667,0,5,0,6,7,13,0,Daytime,No,No,No,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,0.79,Male,-0.3,No,Single,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,141,Yes,Graduate,Yes,13.9
137.3,19,1st phase - general contingent,2,Advertising and Marketing Management,5,0,6,7,13.4,0,5,0,6,6,12.8,0,Daytime,No,Yes,No,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,-1.7,Female,3.7,No,Single,Administrative staff,Higher Education - Bachelor's Degree,Portuguese,Secondary education,160,No,Graduate,Yes,12.7
108,20,1st phase - general contingent,1,Advertising and Marketing Management,5,0,6,9,13,0,5,0,6,6,13.8,0,Daytime,No,Yes,No,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,1.79,Female,0.5,No,Single,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,115,Yes,Graduate,Yes,12.4
133,19,1st phase - general contingent,5,Advertising and Marketing Management,0,0,6,0,0,0,0,0,6,0,0,0,Daytime,No,Yes,No,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,0.32,Female,2.6,No,Single,Specialists in Intellectual and Scientific Activities,12th Year of Schooling - Not Completed,Portuguese,Secondary education,133.1,No,Dropout,Yes,7.6
140.7,20,1st phase - general contingent,1,Advertising and Marketing Management,5,0,5,5,12.6,0,4,0,5,6,14.5,1,Daytime,No,Yes,No,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,0.32,Male,2.6,No,Single,Specialists in Intellectual and Scientific Activities,Higher Education - Bachelor's Degree,Portuguese,Secondary education,141,No,Graduate,Yes,7.6
116.5,19,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,7,12.83333333,0,6,0,6,10,11.77777778,0,Daytime,No,Yes,No,Armed Forces Professions,Basic education 1st cycle (4th/5th year) or equivalent,3.51,Female,1.4,No,Single,Legislative/Executive Directors and Managers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,113,No,Graduate,Yes,8.9
115.5,19,1st phase - general contingent,1,Advertising and Marketing Management,4,0,6,8,11,0,4,0,6,9,11,0,Daytime,No,Yes,No,Armed Forces Professions,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.74,Female,1.4,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,119,No,Enrolled,Yes,10.8
112,18,1st phase - general contingent,5,Advertising and Marketing Management,4,0,6,10,11.25,0,5,0,6,11,12.2,0,Daytime,No,Yes,No,Armed Forces Professions,Secondary Education - 12th Year of Schooling or Equivalent,3.51,Female,1.4,No,Single,Administrative staff,Higher Education - Master's,Portuguese,Secondary education,120,No,Enrolled,Yes,8.9
126.7,20,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,6,14.16666667,0,6,0,6,9,13,0,Daytime,No,Yes,No,Armed Forces Professions,Secondary Education - 12th Year of Schooling or Equivalent,3.51,Female,1.4,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,126,Yes,Graduate,Yes,8.9
143.6,20,1st phase - general contingent,1,Advertising and Marketing Management,5,0,6,8,12.8,0,5,0,6,10,11.6,0,Daytime,No,Yes,No,Directors of administrative and commercial services,Higher Education - Bachelor's Degree,0.79,Male,-0.3,No,Single,Teachers,Higher Education - Master's,Portuguese,Secondary education,132,No,Enrolled,Yes,13.9
119.7,20,1st phase - general contingent,1,Advertising and Marketing Management,3,0,5,6,13,0,3,0,5,7,13,1,Daytime,No,Yes,No,Farmers and Skilled Agriculture/Fisheries/Forestry Workers,Basic education 1st cycle (4th/5th year) or equivalent,0.32,Female,2.6,No,Single,Armed Forces Professions,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,119,No,Enrolled,Yes,7.6
137.6,21,1st phase - general contingent,2,Advertising and Marketing Management,6,0,6,8,15.16666667,0,6,0,6,7,14.42857143,0,Daytime,No,Yes,No,Farmers and Skilled Agriculture/Fisheries/Forestry Workers,Secondary Education - 12th Year of Schooling or Equivalent,3.51,Male,1.4,No,Single,Specialists in Intellectual and Scientific Activities,Higher Education - Degree,Portuguese,Secondary education,140,Yes,Graduate,Yes,8.9
122.4,19,1st phase - general contingent,3,Advertising and Marketing Management,3,0,5,7,11.66666667,0,4,0,5,5,12,0,Daytime,No,Yes,No,Installation and Machine Operators and Assembly Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-3.12,Male,-0.8,No,Single,Specialists in Intellectual and Scientific Activities,Higher Education - Degree,Portuguese,Secondary education,121,No,Enrolled,Yes,9.4
123.4,18,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,10,13.25,0,5,0,6,13,14.14285714,0,Daytime,No,Yes,No,Installation and Machine Operators and Assembly Workers,Secondary Education - 12th Year of Schooling or Equivalent,2.02,Female,0.6,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,136,Yes,Graduate,Yes,11.1
149.5,17,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,8,14.875,0,6,0,6,8,13.42857143,0,Daytime,No,Yes,No,Installation and Machine Operators and Assembly Workers,Secondary Education - 12th Year of Schooling or Equivalent,2.02,Male,0.6,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,146,Yes,Graduate,Yes,11.1
124.7,21,1st phase - general contingent,1,Advertising and Marketing Management,3,0,5,7,11,0,4,0,5,5,12.75,0,Daytime,No,Yes,No,Intermediate Level Technicians and Professions,Higher Education - Bachelor's Degree,0.32,Male,2.6,No,Single,Intermediate Level Technicians and Professions,Higher Education - Bachelor's Degree,Portuguese,Secondary education,124,No,Dropout,Yes,7.6
122.5,19,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,6,13.33333333,0,5,0,6,8,12.8,0,Daytime,No,Yes,No,Intermediate Level Technicians and Professions,Higher Education - Degree,3.51,Female,1.4,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,126,No,Dropout,Yes,8.9
110.1,19,1st phase - general contingent,1,Advertising and Marketing Management,5,0,6,9,13.33333333,0,5,0,6,6,13,0,Daytime,No,Yes,No,Intermediate Level Technicians and Professions,Higher Education - Degree,1.79,Male,0.5,No,Single,Intermediate Level Technicians and Professions,Higher Education - Degree,Portuguese,Secondary education,116,No,Graduate,Yes,12.4
117.8,18,1st phase - general contingent,2,Advertising and Marketing Management,6,0,6,6,13.83333333,0,6,0,6,11,14.55555556,0,Daytime,No,Yes,No,Intermediate Level Technicians and Professions,Secondary Education - 12th Year of Schooling or Equivalent,1.74,Female,1.4,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,123,No,Graduate,Yes,10.8
105.7,19,1st phase - general contingent,3,Advertising and Marketing Management,6,0,6,6,13.33333333,0,5,0,6,9,13.8,0,Daytime,No,Yes,No,Intermediate Level Technicians and Professions,Secondary Education - 12th Year of Schooling or Equivalent,3.51,Male,1.4,No,Single,Specialists in Intellectual and Scientific Activities,Higher Education - Degree,Portuguese,Secondary education,106,No,Graduate,Yes,8.9
113.5,20,1st phase - general contingent,1,Advertising and Marketing Management,4,0,5,6,11.5,0,4,0,5,5,10.75,0,Daytime,No,Yes,No,Legislative/Executive Directors and Managers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-3.12,Female,-0.8,No,Single,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,117,No,Graduate,Yes,9.4
103,20,1st phase - general contingent,1,Advertising and Marketing Management,4,0,6,8,11.75,0,6,0,6,10,12.66666667,0,Daytime,No,Yes,No,Legislative/Executive Directors and Managers,Secondary Education - 12th Year of Schooling or Equivalent,1.74,Female,1.4,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,133.1,Yes,Graduate,Yes,10.8
123.4,21,1st phase - general contingent,2,Advertising and Marketing Management,4,0,5,5,11.75,0,3,0,5,5,13.33333333,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic education 1st cycle (4th/5th year) or equivalent,-3.12,Female,-0.8,No,Single,"Personal Services, Security and Safety Workers and Sellers",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,130,No,Graduate,Yes,9.4
115.5,18,1st phase - general contingent,2,Advertising and Marketing Management,5,0,6,8,13,0,5,0,6,8,14,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.79,Female,-0.3,No,Single,Administrative staff,Higher Education - Degree,Portuguese,Secondary education,120,No,Graduate,Yes,13.9
116.8,21,1st phase - general contingent,1,Advertising and Marketing Management,4,0,5,8,11.5,0,5,0,5,5,12.8,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.32,Female,2.6,No,Single,Intermediate Level Technicians and Professions,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,122,No,Graduate,Yes,7.6
118,19,1st phase - general contingent,4,Advertising and Marketing Management,6,0,6,7,14.42857143,0,6,0,6,8,15,2,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-0.92,Female,0.3,No,Single,Specialists in Intellectual and Scientific Activities,Higher Education - Master's,Portuguese,Secondary education,125,No,Graduate,Yes,16.2
111.9,20,1st phase - general contingent,3,Advertising and Marketing Management,6,0,6,7,11.33333333,0,4,0,6,10,10.57142857,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.74,Male,1.4,No,Single,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,121,Yes,Enrolled,Yes,10.8
129.9,20,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,10,12.71428571,0,4,0,6,8,13,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.79,Male,0.5,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,132,No,Enrolled,Yes,12.4
110.7,20,1st phase - general contingent,2,Advertising and Marketing Management,5,0,6,10,14,0,6,0,6,10,12,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,2.02,Male,0.6,No,Single,Intermediate Level Technicians and Professions,Higher Education - Degree,Portuguese,Secondary education,117,No,Enrolled,Yes,11.1
131.8,18,1st phase - general contingent,2,Advertising and Marketing Management,6,0,6,8,13.57142857,0,5,0,6,6,12.8,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,1.79,Female,0.5,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,143,Yes,Enrolled,Yes,12.4
